SA22018_V1_NAME,LATITUDE,LONGITUDE
Mount Eden East,-36.88500226,174.760481
Wesley East,-36.90326571,174.7340529
Orakei West,-36.85708312,174.815257
Maungawhau,-36.89091675,174.7542555
Remuera West,-36.87008743,174.7859276
Blockhouse Bay East,-36.92106193,174.7093426
Lynfield North,-36.91952771,174.7176304
Mount Roskill North,-36.90053933,174.7442134
Mount Roskill White Swan,-36.91484469,174.7259854
Mount Eden South,-36.89582511,174.7544877
Remuera Waitaramoa,-36.87147136,174.7942352
Orakei East,-36.85366237,174.8232736
Epsom Central-North,-36.88779009,174.7699262
Mount St John,-36.88236812,174.7803595
Mount Roskill Central North,-36.908804,174.7430111
Remuera North,-36.8684808,174.8040065
Three Kings West,-36.90307735,174.7523287
Mount Roskill Central South,-36.91583944,174.7383093
Epsom Central-South,-36.89675875,174.7678741
Lynfield South,-36.93014096,174.7201301
Remuera South,-36.88443518,174.7952652
Mission Bay,-36.855756,174.8323722
Three Kings East,-36.90429123,174.7584018
Mount Roskill South,-36.92449342,174.7300862
Inlet Manukau Harbour,-37.04318103,174.718716
Epsom East,-36.89528995,174.7782585
Remuera Waiata,-36.87744319,174.8043782
Epsom South,-36.90439621,174.7662217
Kohimarama,-36.85773003,174.8409213
Meadowbank West,-36.86956185,174.8257466
Hillsborough North (Auckland),-36.91359172,174.7581549
Hillsborough West (Auckland),-36.91988593,174.7473234
Greenlane North,-36.89157675,174.7929571
Waikowhai North,-36.92587047,174.7399876
Remuera East,-36.8760597,174.8214413
Waikowhai South,-36.92997876,174.746912
Royal Oak West (Auckland),-36.91008886,174.7693171
Saint Heliers West,-36.85712066,174.8507106
One Tree Hill,-36.90124562,174.7821993
Hillsborough East (Auckland),-36.91987919,174.75651
Saint Heliers North,-36.85233733,174.8619382
Remuera Abbotts Park,-36.88487835,174.8131141
Meadowbank East,-36.86978506,174.837007
Ellerslie Central,-36.89200686,174.8075067
Royal Oak East (Auckland),-36.91176082,174.7765866
Saint Heliers South,-36.86395106,174.8563302
Hillsborough South (Auckland),-36.92611941,174.7555866
Saint Johns West,-36.88206283,174.8336574
Greenlane South,-36.90084121,174.7988039
Remuera Waiatarua,-36.88285416,174.8274483
Glendowie North,-36.85540475,174.8737109
Onehunga West,-36.91965553,174.7742165
Ellerslie West,-36.89897117,174.8061246
Onehunga North,-36.91226992,174.7867371
Ellerslie East,-36.89230912,174.8210526
